"state_vector","total_pop_white_non_hispanic","unemployment_white_non_hispanic","total_pop_black","unemployment_black","unemployment_rr"
"Alabama",2637724,4.6,1014203,9.5,2.06521739130435
"Alaska",366050,5.2,19519,4.7,0.903846153846154
"Arizona",3293587,4.9,243885,8.5,1.73469387755102
"Arkansas",1780153,4.4,349442,9,2.04545454545455
"California",12555574,5.1,1846975,10.4,2.03921568627451
"Colorado",3190274,3.8,181614,6.9,1.81578947368421
"Connecticut",2037491,4.6,303342,10.4,2.26086956521739
"Delaware",508971,4.6,165526,8.1,1.76086956521739
"District of Columbia",228162,2.6,258159,13.2,5.07692307692308
"Florida",9729325,4.7,2595275,9.1,1.93617021276596
"Georgia",4520489,4.3,2539058,8.6,2
"Hawaii",272710,4.5,22001,9.3,2.06666666666667
"Idaho",1115497,4,8317,8.5,2.125
"Illinois",6524597,4.3,1420485,14.1,3.27906976744186
"Indiana",4286438,4,472270,10.7,2.675
"Iowa",2189548,3.2,82179,10.6,3.3125
"Kansas",1789577,3.5,130289,7.8,2.22857142857143
"Kentucky",3063006,5.1,279062,9.5,1.86274509803922
"Louisiana",2237925,4.7,1144894,10,2.12765957446809
"Maine",1049550,4,12791,7.5,1.875
"Maryland",2564668,3.8,1431313,7.5,1.97368421052632
"Massachusetts",4175586,4.1,406786,8.5,2.07317073170732
"Michigan",6200298,4.6,1069400,13.3,2.89130434782609
"Minnesota",3651287,2.9,244330,8.8,3.03448275862069
"Mississippi",1380403,5.2,859433,11.1,2.13461538461538
"Missouri",3964827,3.9,539702,9.2,2.35897435897436
"Montana",746789,3.5,4103,6.6,1.88571428571429
"Nebraska",1222664,2.6,67854,8,3.07692307692308
"Nevada",1250190,5.5,209400,10.3,1.87272727272727
"New Hampshire",1023534,3.4,16622,8.1,2.38235294117647
"New Jersey",4119995,4.6,954226,9.8,2.1304347826087
"New Mexico",679420,5,34604,7.3,1.46
"New York",9144360,4.1,2456766,9.1,2.21951219512195
"North Carolina",5422254,4.3,1741169,9.1,2.11627906976744
"North Dakota",518391,2.2,15977,7.3,3.31818181818182
"Ohio",7564239,4.3,1109308,11.5,2.67441860465116
"Oklahoma",2128584,4.2,220596,9.5,2.26190476190476
"Oregon",2638096,5.2,61599,9,1.73076923076923
"Pennsylvania",8215646,4.2,1107651,11.1,2.64285714285714
"Rhode Island",657920,4.4,55348,9.7,2.20454545454545
"South Carolina",2665173,4.5,1056455,9.1,2.02222222222222
"South Dakota",576684,2.2,12302,3.8,1.72727272727273
"Tennessee",4089382,4.5,870706,8.9,1.97777777777778
"Texas",9800605,4.1,2641668,7.8,1.90243902439024
"Utah",1817121,3.3,25517,6.4,1.93939393939394
"Vermont",488164,3.5,6354,4.4,1.25714285714286
"Virginia",4345537,3.8,1291833,7.3,1.92105263157895
"Washington",4251341,4.5,219314,7.8,1.73333333333333
"West Virginia",1382818,6.4,54975,10.5,1.640625
"Wisconsin",3912146,3,270598,10,3.33333333333333
"Wyoming",394763,4.1,4335,8.9,2.17073170731707
"Puerto Rico",26397,10.4,328458,17.1,1.64423076923077
