"state","no_college_RR","unemployment_RR","median_income_ratio","renters_RR","incarceration_RR"
"Alabama",1.14130889800744,2.06521739130435,1.70758665409102,2.11236236570492,NA
"Alaska",1.24015978442358,0.903846153846154,1.38028010483832,2.03203355321648,3.74228781896207
"Arizona",1.16136410420165,1.73469387755102,1.3644747393745,2.26132518842892,4.1051729216836
"Arkansas",1.12044501385106,2.04545454545455,1.61150608044902,1.97695153758369,3.1896571430211
"California",1.32626435881518,2.03921568627451,1.68005478712117,1.78181511053784,8.22052137886403
"Colorado",1.39698307449742,1.81578947368421,1.52042494726861,2.02540510902576,6.28564047198396
"Connecticut",1.40644629870324,2.26086956521739,1.82708163265306,2.51522975609884,8.21933941781015
"Delaware",1.17174087036098,1.76086956521739,1.46966898989297,2.48279041996993,4.0449055952063
"Florida",1.21345411232027,1.93617021276596,1.47911371157259,2.13621156372697,3.67679989209505
"Georgia",1.17152624113715,2,1.52126706962167,2.04935308672979,2.73361875905538
"Hawaii",1.30347655613215,2.06666666666667,1.17949711530182,1.78238822405997,1.98116388971881
"Idaho",1.04300025941729,2.125,1.33715201933355,2.25872826988121,3.67809467421963
"Illinois",1.28009669925825,3.27906976744186,1.91029995074275,2.40636912114329,7.79474845461276
"Indiana",1.1259504684888,2.675,1.71546066771744,2.43174314774706,4.52054023728809
"Iowa",1.17339114360268,3.3125,1.94866050592738,2.93853628738708,8.53019755225486
"Kansas",1.24754267000545,2.22857142857143,1.65650358465296,2.22327081282294,6.05657730885241
"Kentucky",1.09879439697683,1.86274509803922,1.43825499670547,2.21982733771916,2.79424305980538
"Louisiana",1.17449842867408,2.12765957446809,1.99603798297315,2.1895966676572,NA
"Maine",1.08740959652837,1.875,1.36411738654111,2.93953904706556,7.14904099386872
"Maryland",1.28009220927662,1.97368421052632,1.40920053859698,2.0992112816621,4.48499124545283
"Massachusetts",1.3876833080854,2.07317073170732,1.71011920836387,2.1871206522015,6.55856085007407
"Michigan",1.18441089938049,2.89130434782609,1.74820225355303,2.61057686023865,NA
"Minnesota",1.26434716341291,3.03448275862069,1.98209515749385,3.2443519131159,9.61415165592501
"Mississippi",1.14066138149838,2.13461538461538,1.83024028130494,2.10856039186514,2.53539952223307
"Missouri",1.16702424671428,2.35897435897436,1.59062911858845,2.22692039355669,3.25335980351909
"Montana",0.999668980233873,1.88571428571429,1.26644102748016,2.42036843742973,4.66954519125165
"Nebraska",1.19486678660807,3.07692307692308,1.80031131865688,2.36045783083919,8.3549222442422
"Nevada",1.16775619853232,1.87272727272727,1.61914509918604,1.96401644271758,3.81295313377363
"New Hampshire",1.1610620499421,2.38235294117647,1.33781614156237,2.50049102556611,5.59908325486611
"New Jersey",1.35363779237271,2.1304347826087,1.77403421789021,2.62732450924708,11.0362643494822
"New Mexico",1.21416671169941,1.46,1.47589320963285,2.15342660372355,5.18869217553982
"New York",1.33177548418613,2.21951219512195,1.62246432028338,2.06818801532229,7.22964556806206
"North Carolina",1.21059227044268,2.11627906976744,1.58627390815178,2.04785395362555,3.69398492785984
"North Dakota",1.12290923597768,3.31818181818182,1.80935783692438,2.75182608132338,4.01357285681542
"Ohio",1.17183231416107,2.67441860465116,1.85255443633512,2.31977829504638,5.2806098273464
"Oklahoma",1.11830497988872,2.26190476190476,1.6169254306437,2.10747074005008,5.3031174048553
"Oregon",1.12644666257814,1.73076923076923,1.54128264668566,1.93643294850241,4.65597756264733
"Pennsylvania",1.20527836780971,2.64285714285714,1.71639004149378,2.22650674342555,7.36823311606198
"Rhode Island",1.26431245086335,2.20454545454545,1.61068952697531,2.09319210889816,7.94620470553026
"South Carolina",1.25922357877445,2.02222222222222,1.77784110338539,2.05590655412109,3.7931468736907
"South Dakota",1.20565664114103,1.72727272727273,1.59525654937219,2.89282583045468,NA
"Tennessee",1.11562794649398,1.97777777777778,1.4749813100977,2.09463051135435,3.01577865932539
"Texas",1.23013898090463,1.90243902439024,1.62928368977068,2.00999741754527,3.33947876897307
"Utah",1.19678305401051,1.93939393939394,1.80175799961678,2.72735101266379,6.2538351371359
"Vermont",1.03396425486006,1.25714285714286,1.59314720812183,2.7035577097555,7.45150369792492
"Virginia",1.3083891879895,1.92105263157895,1.54946373949743,1.95201703397615,4.29239373135589
"Washington",1.19595569809333,1.73333333333333,1.44958477115013,2.11521701235956,4.89645707799041
"West Virginia",1.0652032553877,1.640625,1.42238855521685,2.29014297304869,3.44507011147213
"Wisconsin",1.24802990881901,3.33333333333333,2.07097062294664,2.65992955984064,11.2376039964677
"Wyoming",0.993110663090839,2.17073170731707,1.3870552483856,2.55667911024695,4.70142878293347
